Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","1961","1961","1000 Int$","201652","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","1962","1962","1000 Int$","240062","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","1963","1963","1000 Int$","477989","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","1964","1964","1000 Int$","480123","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","1965","1965","1000 Int$","295969","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","1966","1966","1000 Int$","103920","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","1967","1967","1000 Int$","293515","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","1968","1968","1000 Int$","298637","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","1969","1969","1000 Int$","138649","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","1970","1970","1000 Int$","485031","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","1971","1971","1000 Int$","898364","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","1972","1972","1000 Int$","381965","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","1973","1973","1000 Int$","701193","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","1974","1974","1000 Int$","633976","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","1975","1975","1000 Int$","933786","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","1976","1976","1000 Int$","464332","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","1977","1977","1000 Int$","675373","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","1978","1978","1000 Int$","437445","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","1979","1979","1000 Int$","466253","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","1980","1980","1000 Int$","773532","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","1981","1981","1000 Int$","426776","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","1982","1982","1000 Int$","293409","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","1983","1983","1000 Int$","800205","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","1984","1984","1000 Int$","506797","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","1985","1985","1000 Int$","560144","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","1986","1986","1000 Int$","608156","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","1987","1987","1000 Int$","533470","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","1988","1988","1000 Int$","288074","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","1989","1989","1000 Int$","693511","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","1990","1990","1000 Int$","880226","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","1991","1991","1000 Int$","1413696","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","1992","1992","1000 Int$","720185","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","1993","1993","1000 Int$","1120287","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","1994","1994","1000 Int$","373429","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","1995","1995","1000 Int$","320082","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","1996","1996","1000 Int$","1653757","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","1997","1997","1000 Int$","533470","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","1998","1998","1000 Int$","1013593","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","1999","1999","1000 Int$","1200308","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","2000","2000","1000 Int$","586817","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","2001","2001","1000 Int$","160041","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","2002","2002","1000 Int$","373429","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","2003","2003","1000 Int$","1493716","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","2004","2004","1000 Int$","693511","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","2005","2005","1000 Int$","1120287","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","2006","2006","1000 Int$","1299533","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","2007","2007","1000 Int$","1064806","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","2008","2008","1000 Int$","1262190","E","Estimated value"
"QV","Value of Agricultural Production","788","Tunisia","152","Gross Production Value (constant 2014-2016 thousand I$)","01450","Olives","2009","2009","1000 Int$","853552","E","Estimated value"
