Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","788","Tunisia","5511","Production","S2580","Olive Oil","2010","2010","1000 t","196","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5611","Import quantity","S2580","Olive Oil","2010","2010","1000 t","1","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5072","Stock Variation","S2580","Olive Oil","2010","2010","1000 t","38","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5911","Export quantity","S2580","Olive Oil","2010","2010","1000 t","117","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5301","Domestic supply quantity","S2580","Olive Oil","2010","2010","1000 t","41","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5154","Other uses (non-food)","S2580","Olive Oil","2010","2010","1000 t","4","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5170","Residuals","S2580","Olive Oil","2010","2010","1000 t","0","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5142","Food","S2580","Olive Oil","2010","2010","1000 t","37","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","645","Food supply quantity (kg/capita/yr)","S2580","Olive Oil","2010","2010","kg/cap","3.46","E","Estimated value",""
"FBS","Food Balances (2010-)","788","Tunisia","664","Food supply (kcal/capita/day)","S2580","Olive Oil","2010","2010","kcal/cap/d","85.19","E","Estimated value",""
"FBS","Food Balances (2010-)","788","Tunisia","661","Food supply (kcal)","S2580","Olive Oil","2010","2010","million Kcal","334748.85","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","674","Protein supply quantity (g/capita/day)","S2580","Olive Oil","2010","2010","g/cap/d","0","E","Estimated value",""
"FBS","Food Balances (2010-)","788","Tunisia","671","Protein supply quantity (t)","S2580","Olive Oil","2010","2010","t","0","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","684","Fat supply quantity (g/capita/day)","S2580","Olive Oil","2010","2010","g/cap/d","9.46","E","Estimated value",""
"FBS","Food Balances (2010-)","788","Tunisia","681","Fat supply quantity (t)","S2580","Olive Oil","2010","2010","t","37167.49","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5511","Production","S2580","Olive Oil","2011","2011","1000 t","125","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5611","Import quantity","S2580","Olive Oil","2011","2011","1000 t","0","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5072","Stock Variation","S2580","Olive Oil","2011","2011","1000 t","0","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5911","Export quantity","S2580","Olive Oil","2011","2011","1000 t","105","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5301","Domestic supply quantity","S2580","Olive Oil","2011","2011","1000 t","21","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5154","Other uses (non-food)","S2580","Olive Oil","2011","2011","1000 t","3","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5170","Residuals","S2580","Olive Oil","2011","2011","1000 t","0","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5142","Food","S2580","Olive Oil","2011","2011","1000 t","18","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","645","Food supply quantity (kg/capita/yr)","S2580","Olive Oil","2011","2011","kg/cap","1.69","E","Estimated value",""
"FBS","Food Balances (2010-)","788","Tunisia","664","Food supply (kcal/capita/day)","S2580","Olive Oil","2011","2011","kcal/cap/d","41.61","E","Estimated value",""
"FBS","Food Balances (2010-)","788","Tunisia","661","Food supply (kcal)","S2580","Olive Oil","2011","2011","million Kcal","165352.54","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","674","Protein supply quantity (g/capita/day)","S2580","Olive Oil","2011","2011","g/cap/d","0","E","Estimated value",""
