date,year,month,product,quantity_sold,price,cost,revenue,stock
2021-01,2021,1,Olive Oil,157,22.4,13.66,3516.8,378
2021-02,2021,2,Olive Oil,147,15.34,10.78,2254.98,733
2021-03,2021,3,Olive Oil,143,18.06,10.1,2582.58,716
2021-04,2021,4,Olive Oil,131,16.29,11.06,2133.99,391
2021-05,2021,5,Olive Oil,123,18.44,12.16,2268.12,605
2021-06,2021,6,Olive Oil,61,16.23,10.7,990.03,483
2021-07,2021,7,Olive Oil,111,17.66,11.0,1960.26,596
2021-08,2021,8,Olive Oil,86,16.81,10.23,1445.66,385
2021-09,2021,9,Olive Oil,100,21.15,13.42,2115.0,361
2021-10,2021,10,Olive Oil,105,17.64,12.48,1852.2,754
2021-11,2021,11,Olive Oil,162,18.59,11.56,3011.58,573
2021-12,2021,12,Olive Oil,131,19.52,10.92,2557.12,687
2022-01,2022,1,Olive Oil,161,15.43,10.44,2484.23,322
2022-02,2022,2,Olive Oil,152,18.09,11.63,2749.68,435
2022-03,2022,3,Olive Oil,113,18.43,11.4,2082.59,370
2022-04,2022,4,Olive Oil,135,20.03,14.01,2704.05,793
2022-05,2022,5,Olive Oil,109,17.31,10.03,1886.79,653
2022-06,2022,6,Olive Oil,99,23.32,13.65,2308.68,337
2022-07,2022,7,Olive Oil,77,23.62,14.32,1818.74,465
2022-08,2022,8,Olive Oil,85,15.73,10.32,1337.05,462
2022-09,2022,9,Olive Oil,122,22.94,14.44,2798.68,359
2022-10,2022,10,Olive Oil,130,23.13,13.57,3006.9,580
2022-11,2022,11,Olive Oil,149,19.81,12.61,2951.69,312
2022-12,2022,12,Olive Oil,173,14.89,10.54,2575.97,618
2023-01,2023,1,Olive Oil,151,21.81,14.54,3293.31,505
2023-02,2023,2,Olive Oil,120,20.55,13.78,2466.0,338
2023-03,2023,3,Olive Oil,107,25.25,14.65,2701.75,616
2023-04,2023,4,Olive Oil,112,24.72,14.36,2768.64,393
2023-05,2023,5,Olive Oil,121,24.69,14.04,2987.49,459
2023-06,2023,6,Olive Oil,104,15.73,10.55,1635.92,513
2023-07,2023,7,Olive Oil,94,16.09,10.03,1512.46,508
2023-08,2023,8,Olive Oil,93,16.09,11.11,1496.37,468
2023-09,2023,9,Olive Oil,107,21.17,12.59,2265.19,481
2023-10,2023,10,Olive Oil,116,26.52,14.86,3076.32,425
2023-11,2023,11,Olive Oil,121,16.16,11.42,1955.36,604
2023-12,2023,12,Olive Oil,149,17.77,12.51,2647.73,439
2024-01,2024,1,Olive Oil,147,17.11,10.72,2515.17,792
2024-02,2024,2,Olive Oil,154,18.71,11.21,2881.34,680
2024-03,2024,3,Olive Oil,131,19.57,11.84,2563.67,616
2024-04,2024,4,Olive Oil,106,18.21,12.68,1930.26,717
2024-05,2024,5,Olive Oil,105,16.69,10.2,1752.45,638
2024-06,2024,6,Olive Oil,81,16.18,10.08,1310.58,413
2024-07,2024,7,Olive Oil,74,20.91,13.45,1547.34,768
2024-08,2024,8,Olive Oil,97,16.42,10.69,1592.74,356
2024-09,2024,9,Olive Oil,122,22.86,14.09,2788.92,564
2024-10,2024,10,Olive Oil,91,16.11,11.21,1466.01,748
2024-11,2024,11,Olive Oil,153,18.01,11.7,2755.53,662
2024-12,2024,12,Olive Oil,161,25.43,14.49,4094.23,689
2025-01,2025,1,Olive Oil,139,19.02,10.81,2643.78,603
2025-02,2025,2,Olive Oil,153,14.48,10.05,2215.44,631
2025-03,2025,3,Olive Oil,147,19.75,13.26,2903.25,656
2025-04,2025,4,Olive Oil,127,17.12,11.19,2174.24,673
2025-05,2025,5,Olive Oil,134,21.63,13.29,2898.42,346
2025-06,2025,6,Olive Oil,96,17.83,11.84,1711.68,421
2025-07,2025,7,Olive Oil,88,23.89,14.46,2102.32,697
2025-08,2025,8,Olive Oil,95,20.4,12.51,1938.0,546
2025-09,2025,9,Olive Oil,119,16.07,11.4,1912.33,622
2025-10,2025,10,Olive Oil,97,19.34,10.89,1875.98,776
2025-11,2025,11,Olive Oil,146,17.85,10.08,2606.1,514
2025-12,2025,12,Olive Oil,160,26.48,14.83,4236.8,726
